username,semester,recommended_courses
shayen,4,"UK4DSCZOO201 - Chordate Diversity -Part II (Credits: 4, Mandatory); UK4DSCZOO202 - Evolution and Zoogeography (Credits: 4, Mandatory); UK4DSCZOO203 - Comparative Anatomy of Vertebrates (Credits: 4, Optional); UK4DSEZOO203 - Environmental Science II- Environmental Pollution (Credits: 2, Optional); UK4DSEZOO202 - Entomology II- Industrial Entomology (Credits: 2, Optional); UK4DSEZOO201 - Fisheries Science II-Principles of Aquaculture (Credits: 2, Optional); UK4SECZOO201 - Livestock Management (Credits: 3, Optional); UK4VACZOO201 - Communcation and Popularisation of Life Science (Credits: 2, Optional); UK4VACZOO202 - Bioeconomics and Ecotourism (Credits: 2, Optional); UK4INTZOO200 - Summer Internship (Credits: 4, Optional)"
shayen,4,"UK4DSCZOO201 - Chordate Diversity -Part II (Credits: 4, Mandatory); UK4DSCZOO202 - Evolution and Zoogeography (Credits: 4, Mandatory); UK4DSCZOO203 - Comparative Anatomy of Vertebrates (Credits: 4, Optional); UK4DSEZOO203 - Environmental Science II- Environmental Pollution (Credits: 2, Optional); UK4DSEZOO202 - Entomology II- Industrial Entomology (Credits: 2, Optional); UK4DSEZOO201 - Fisheries Science II-Principles of Aquaculture (Credits: 2, Optional); UK4SECZOO201 - Livestock Management (Credits: 3, Optional); UK4VACZOO201 - Communcation and Popularisation of Life Science (Credits: 2, Optional); UK4VACZOO202 - Bioeconomics and Ecotourism (Credits: 2, Optional); UK4INTZOO200 - Summer Internship (Credits: 4, Optional)"
shayen,4,"UK4DSCZOO201 - Chordate Diversity -Part II (Credits: 4, Mandatory); UK4DSCZOO202 - Evolution and Zoogeography (Credits: 4, Mandatory); UK4DSCZOO203 - Comparative Anatomy of Vertebrates (Credits: 4, Optional); UK4DSEZOO203 - Environmental Science II- Environmental Pollution (Credits: 2, Optional); UK4DSEZOO202 - Entomology II- Industrial Entomology (Credits: 2, Optional); UK4DSEZOO201 - Fisheries Science II-Principles of Aquaculture (Credits: 2, Optional); UK4SECZOO201 - Livestock Management (Credits: 3, Optional); UK4VACZOO201 - Communcation and Popularisation of Life Science (Credits: 2, Optional); UK4VACZOO202 - Bioeconomics and Ecotourism (Credits: 2, Optional); UK4INTZOO200 - Summer Internship (Credits: 4, Optional)"
shayen,3,"UK3DSCZOO202 - Diversity of Chordates (Credits: 4, Mandatory); UK3DSCZOO201 - Chordate Diversity -Part I (Credits: 4, Mandatory); UK3DSCZOO205 - Human Parasitology and Vector-borne Diseases (Credits: 4, Optional); UK3DSCZOO203 - Concepts of Ethology (Credits: 4, Optional); UK3DSCZOO204 - Body Functions and Regulation (Credits: 4, Optional); UK3DSEZOO203 - Environmental Science I- Global Environmental Issues (Credits: 2, Optional); UK3DSEZOO202 - Entomology I- General Entomology (Credits: 2, Optional); UK3DSEZOO201 - Fisheries Science I-Taxonomy and Fishery Biology (Credits: 2, Optional); UK3VACZOO201 - Nutrition,Health and Wellness (Credits: 2, Optional)"
shayen,3,"UK3DSCZOO202 - Diversity of Chordates (Credits: 4, Mandatory); UK3DSCZOO201 - Chordate Diversity -Part I (Credits: 4, Mandatory); UK3DSCZOO205 - Human Parasitology and Vector-borne Diseases (Credits: 4, Optional); UK3DSCZOO203 - Concepts of Ethology (Credits: 4, Optional); UK3DSCZOO204 - Body Functions and Regulation (Credits: 4, Optional); UK3DSEZOO203 - Environmental Science I- Global Environmental Issues (Credits: 2, Optional); UK3DSEZOO202 - Entomology I- General Entomology (Credits: 2, Optional); UK3DSEZOO201 - Fisheries Science I-Taxonomy and Fishery Biology (Credits: 2, Optional); UK3VACZOO201 - Nutrition,Health and Wellness (Credits: 2, Optional)"
shayen,5,"UK5DSCZOO301 - Developmental Biology (Credits: 4, Mandatory); UK5DSCZOO302 - Animal Physiology (Credits: 4, Mandatory); UK5DSCZOO303 - Microbiology and Immunology (Credits: 4, Optional); UK5DSCZOO304 - Agrochemicals and Agricultural Pest Management (Credits: 4, Optional); UK5DSEZOO301 - Ecology and Disaster Management (Credits: 2, Mandatory); UK5DSEZOO304 - Environmental Science III-Environmental Monitoring and Ecosystem Restoration (Credits: 2, Optional); UK5DSEZOO303 - Entomology III- Medical and Veterinary Entomology (Credits: 2, Optional); UK5DSEZOO302 - Fisheries Science III- Culture of Finfishes and Shellfishes (Credits: 2, Optional); UK5SECZOO301 - Vermiculture and Vermicomposting (Credits: 3, Optional)"
shayen,3,"UK3DSCZOO202 - Diversity of Chordates (Credits: 4, Mandatory); UK3DSCZOO201 - Chordate Diversity -Part I (Credits: 4, Mandatory); UK3DSCZOO205 - Human Parasitology and Vector-borne Diseases (Credits: 4, Optional); UK3DSCZOO203 - Concepts of Ethology (Credits: 4, Optional); UK3DSCZOO204 - Body Functions and Regulation (Credits: 4, Optional); UK3DSEZOO203 - Environmental Science I- Global Environmental Issues (Credits: 2, Optional); UK3DSEZOO202 - Entomology I- General Entomology (Credits: 2, Optional); UK3DSEZOO201 - Fisheries Science I-Taxonomy and Fishery Biology (Credits: 2, Optional); UK3VACZOO201 - Nutrition,Health and Wellness (Credits: 2, Optional)"
shayen,3,"UK3DSCZOO202 - Diversity of Chordates (Credits: 4, Mandatory); UK3DSCZOO201 - Chordate Diversity -Part I (Credits: 4, Mandatory); UK3DSCZOO205 - Human Parasitology and Vector-borne Diseases (Credits: 4, Optional); UK3DSCZOO203 - Concepts of Ethology (Credits: 4, Optional); UK3DSCZOO204 - Body Functions and Regulation (Credits: 4, Optional); UK3DSEZOO203 - Environmental Science I- Global Environmental Issues (Credits: 2, Optional); UK3DSEZOO202 - Entomology I- General Entomology (Credits: 2, Optional); UK3DSEZOO201 - Fisheries Science I-Taxonomy and Fishery Biology (Credits: 2, Optional); UK3VACZOO201 - Nutrition,Health and Wellness (Credits: 2, Optional)"
shayen,3,"UK3DSCZOO202 - Diversity of Chordates (Credits: 4, Mandatory); UK3DSCZOO201 - Chordate Diversity -Part I (Credits: 4, Mandatory); UK3DSCZOO205 - Human Parasitology and Vector-borne Diseases (Credits: 4, Optional); UK3DSCZOO203 - Concepts of Ethology (Credits: 4, Optional); UK3DSCZOO204 - Body Functions and Regulation (Credits: 4, Optional); UK3DSEZOO203 - Environmental Science I- Global Environmental Issues (Credits: 2, Optional); UK3DSEZOO202 - Entomology I- General Entomology (Credits: 2, Optional); UK3DSEZOO201 - Fisheries Science I-Taxonomy and Fishery Biology (Credits: 2, Optional); UK3VACZOO201 - Nutrition,Health and Wellness (Credits: 2, Optional)"
shayen,4,"UK4DSCZOO201 - Chordate Diversity -Part II (Credits: 4, Mandatory); UK4DSCZOO202 - Evolution and Zoogeography (Credits: 4, Mandatory); UK4DSCZOO203 - Comparative Anatomy of Vertebrates (Credits: 4, Optional); UK4DSEZOO203 - Environmental Science II- Environmental Pollution (Credits: 2, Optional); UK4DSEZOO202 - Entomology II- Industrial Entomology (Credits: 2, Optional); UK4DSEZOO201 - Fisheries Science II-Principles of Aquaculture (Credits: 2, Optional); UK4SECZOO201 - Livestock Management (Credits: 3, Optional); UK4VACZOO201 - Communcation and Popularisation of Life Science (Credits: 2, Optional); UK4VACZOO202 - Bioeconomics and Ecotourism (Credits: 2, Optional); UK4INTZOO200 - Summer Internship (Credits: 4, Optional)"
